=== Recall Variances ===
Sample 160: Variance = 0.031001371742112475
Sample 161: Variance = 0.1253772290809328
Sample 162: Variance = 0.06683813443072702
Sample 163: Variance = 0.002366255144032919
Sample 164: Variance = 0.07283950617283952
Sample 165: Variance = 0.14348422496570645
Sample 166: Variance = 0.07355967078189302
Sample 167: Variance = 0.0012345679012345664
Sample 168: Variance = 0.03786008230452675
Sample 169: Variance = 0.00030864197530864224
Sample 170: Variance = 0.010322359396433466
Sample 171: Variance = 0.015260631001371741
Sample 172: Variance = 0.00030864197530864224
Sample 173: Variance = 0.003978052126200272
Sample 174: Variance = 0.07918381344307271
Sample 175: Variance = 0.05267489711934156
Sample 176: Variance = 0.05229766803840879
Sample 177: Variance = 0.08353909465020577
Sample 178: Variance = 0.02798353909465021
Sample 179: Variance = 0.030178326474622777
Sample 180: Variance = 0.0007201646090534957
Sample 181: Variance = 0.0997599451303155
Sample 182: Variance = 0.03323045267489712
Sample 183: Variance = 0.1872770919067215
Sample 184: Variance = 0.07918381344307271
Sample 185: Variance = 0.04269547325102881
Sample 186: Variance = 0.004938271604938271
Sample 187: Variance = 0.1297668038408779
Sample 188: Variance = 0.11522633744855969
Sample 189: Variance = 0.04307270233196159
Sample 190: Variance = 0.00030864197530864224
Sample 191: Variance = 0.024862825788751715
Sample 192: Variance = 0.0
Sample 193: Variance = 0.038957475994513026
Sample 194: Variance = 0.009224965706447187
Sample 195: Variance = 0.04393004115226337
Sample 196: Variance = 0.019513031550068585
Sample 197: Variance = 0.038031550068587106
Sample 198: Variance = 0.11004801097393689
Sample 199: Variance = 0.0044238683127572
Sample 200: Variance = 0.044890260631001364
Sample 201: Variance = 0.06666666666666667
Sample 202: Variance = 0.04146090534979423
Sample 203: Variance = 0.07438271604938271
Sample 204: Variance = 0.042661179698216735
Sample 205: Variance = 0.024691358024691357
Sample 206: Variance = 0.029629629629629624
Sample 207: Variance = 0.0
Sample 208: Variance = 0.13772290809327847
Sample 209: Variance = 0.10548696844993143
Sample 210: Variance = 0.015946502057613172
Sample 211: Variance = 0.019513031550068585
Sample 212: Variance = 0.0007201646090534958
Sample 213: Variance = 0.04351851851851851
Sample 214: Variance = 0.03432784636488339
Sample 215: Variance = 0.006721536351165978
Sample 216: Variance = 0.026200274348422495
Sample 217: Variance = 0.0652949245541838
Sample 218: Variance = 0.080281207133059
Sample 219: Variance = 0.04351851851851851
Sample 220: Variance = 0.025685871056241424
Sample 221: Variance = 0.041700960219478736
Sample 222: Variance = 0.004938271604938271
Sample 223: Variance = 0.09684499314128943
Sample 224: Variance = 0.052160493827160495
Sample 225: Variance = 0.022668038408779147
Sample 226: Variance = 0.04969135802469135
Sample 227: Variance = 0.000994513031550068
Sample 228: Variance = 0.21042524005486962
Sample 229: Variance = 0.073559670781893
Sample 230: Variance = 0.0007201646090534987
Sample 231: Variance = 0.0016803840877914929
Sample 232: Variance = 0.03237311385459533
Sample 233: Variance = 0.0382716049382716
Sample 234: Variance = 0.0006858710562414258
Sample 235: Variance = 0.019341563786008226
Sample 236: Variance = 0.1299382716049383
Sample 237: Variance = 0.0949588477366255
Sample 238: Variance = 0.11810699588477365
Sample 239: Variance = 0.04612482853223593
Sample 240: Variance = 0.06958161865569273
Sample 241: Variance = 0.07489711934156379
Sample 242: Variance = 0.13223593964334704
Sample 243: Variance = 0.05267489711934156
Sample 244: Variance = 0.1680384087791495
Sample 245: Variance = 0.03552812071330589
Sample 246: Variance = 0.03031550068587106
Sample 247: Variance = 0.0982167352537723
Sample 248: Variance = 0.017455418381344307
Sample 249: Variance = 0.0005486968449931419
Sample 250: Variance = 0.08628257887517146
Sample 251: Variance = 0.12496570644718791
Sample 252: Variance = 0.12650891632373115
Sample 253: Variance = 0.09794238683127571
Sample 254: Variance = 0.032407407407407406
Sample 255: Variance = 0.08233882030178326
Sample 256: Variance = 0.1090877914951989
Sample 257: Variance = 0.044204389574759945
Sample 258: Variance = 0.00030864197530864224
Sample 259: Variance = 0.08919753086419753
Sample 260: Variance = 0.0
Sample 261: Variance = 0.08834019204389576
Sample 262: Variance = 0.024725651577503425
Sample 263: Variance = 0.0021947873799725635
Sample 264: Variance = 0.02757201646090534
Sample 265: Variance = 0.08216735253772289
Sample 266: Variance = 0.027983539094650203
Sample 267: Variance = 0.05747599451303155
Sample 268: Variance = 0.0015089163237311377
Sample 269: Variance = 0.01731824417009602
Sample 270: Variance = 0.12417695473251028
Sample 271: Variance = 0.05089163237311385
Sample 272: Variance = 0.07493141289437583
Sample 273: Variance = 0.08302469135802468
Sample 274: Variance = 0.01934156378600823
Sample 275: Variance = 0.03758573388203017
Sample 276: Variance = 0.0869684499314129
Sample 277: Variance = 0.04060356652949246
Sample 278: Variance = 0.0212962962962963
Sample 279: Variance = 0.1063443072702332
Sample 280: Variance = 0.02400548696844993
Sample 281: Variance = 0.057921810699588475
Sample 282: Variance = 0.05078875171467764
Sample 283: Variance = 0.03432784636488339
Sample 284: Variance = 0.026920438957475992
Sample 285: Variance = 0.018655692729766797
Sample 286: Variance = 0.08439643347050754
Sample 287: Variance = 0.12290809327846364
Sample 288: Variance = 0.006035665294924552
Sample 289: Variance = 0.12222222222222223
Sample 290: Variance = 0.029526748971193412
Sample 291: Variance = 0.00030864197530864224
Sample 292: Variance = 0.0869684499314129
Sample 293: Variance = 0.11896433470507543
Sample 294: Variance = 0.04818244170096023
Sample 295: Variance = 0.10085733882030178
Sample 296: Variance = 0.0905349794238683
Sample 297: Variance = 0.030864197530864206
Sample 298: Variance = 0.03305898491083675
Sample 299: Variance = 0.03292181069958847
Sample 300: Variance = 0.10850480109739367
Sample 301: Variance = 0.01608367626886145
Sample 302: Variance = 0.11045953360768176
Sample 303: Variance = 0.06392318244170096
Sample 304: Variance = 0.0029149519890260597
Sample 305: Variance = 0.019513031550068588
Sample 306: Variance = 0.01183127572016461
Sample 307: Variance = 0.07026748971193417
Sample 308: Variance = 0.07205075445816188
Sample 309: Variance = 0.00030864197530864224
Sample 310: Variance = 0.019513031550068588
Sample 311: Variance = 0.08559670781893006
Sample 312: Variance = 0.003978052126200274
Sample 313: Variance = 0.030864197530864192
Sample 314: Variance = 0.009224965706447185
Sample 315: Variance = 0.001406035665294924
Sample 316: Variance = 0.053806584362139906
Sample 317: Variance = 0.03597393689986283
Sample 318: Variance = 0.08175582990397805
Sample 319: Variance = 0.03758573388203017
Sample 320: Variance = 0.11783264746227706
Sample 321: Variance = 0.019753086419753086
Sample 322: Variance = 0.08285322359396434
Sample 323: Variance = 0.04941700960219478
Sample 324: Variance = 0.10219478737997256
Sample 325: Variance = 0.04393004115226338
Sample 326: Variance = 0.05558984910836763
Sample 327: Variance = 0.10840192043895748
Sample 328: Variance = 0.0007201646090534987
Sample 329: Variance = 0.09657064471879287
Sample 330: Variance = 0.06790123456790124
Sample 331: Variance = 0.05147462277091906
Sample 332: Variance = 0.05380658436213992
Sample 333: Variance = 0.030864197530864206
Sample 334: Variance = 0.030315500685871053
Sample 335: Variance = 0.0502400548696845
Sample 336: Variance = 0.05366941015089163
Sample 337: Variance = 0.027572016460905353
Sample 338: Variance = 0.015912208504801094
Sample 339: Variance = 0.03432784636488339
Sample 340: Variance = 0.19835390946502057
Sample 341: Variance = 0.0
Sample 342: Variance = 0.029526748971193426
Sample 343: Variance = 0.0013717421124828516
Sample 344: Variance = 0.034327846364883396
Sample 345: Variance = 0.019753086419753086
Sample 346: Variance = 0.09550754458161864
Sample 347: Variance = 0.007167352537722904
Sample 348: Variance = 0.08010973936899862
Sample 349: Variance = 0.12499999999999997
Sample 350: Variance = 0.08148148148148149
Sample 351: Variance = 0.0007201646090534957
Sample 352: Variance = 0.017283950617283945
Sample 353: Variance = 0.034430727023319604
Sample 354: Variance = 0.04801097393689986
Sample 355: Variance = 0.07393689986282577
Sample 356: Variance = 0.045404663923182445
Sample 357: Variance = 0.15445816186556927
Sample 358: Variance = 0.10497256515775034
Sample 359: Variance = 0.06450617283950617
Sample 360: Variance = 0.05349794238683128
Sample 361: Variance = 0.024691358024691357
Sample 362: Variance = 0.054732510288065854
Sample 363: Variance = 0.14406721536351166
Sample 364: Variance = 0.0028806584362139915
Sample 365: Variance = 0.13978052126200274
Sample 366: Variance = 0.018552812071330586
Sample 367: Variance = 0.0
Sample 368: Variance = 0.0315843621399177
Sample 369: Variance = 0.03528806584362139
Sample 370: Variance = 0.025514403292181072
Sample 371: Variance = 0.002194787379972563
Sample 372: Variance = 0.0014060356652949235
Sample 373: Variance = 0.07009602194787382
Sample 374: Variance = 0.024142661179698224
Sample 375: Variance = 0.017455418381344304
Sample 376: Variance = 0.019513031550068588
Sample 377: Variance = 0.0663923182441701
Sample 378: Variance = 0.13772290809327845
Sample 379: Variance = 0.12016460905349795
Sample 380: Variance = 0.08244170096021947
Sample 381: Variance = 0.002091906721536349
Sample 382: Variance = 0.01728395061728395
Sample 383: Variance = 0.0008230452674897128
Sample 384: Variance = 0.052674897119341556
Sample 385: Variance = 0.0012345679012345664
Sample 386: Variance = 0.09135802469135804
Sample 387: Variance = 0.07325102880658435
Sample 388: Variance = 0.08741426611796982
Sample 389: Variance = 0.10730452674897119
Sample 390: Variance = 0.02688614540466392
Sample 391: Variance = 0.0014060356652949237
Sample 392: Variance = 0.0055212620027434885
Sample 393: Variance = 0.05706447187928671
Sample 394: Variance = 0.0205761316872428
