=== Recall Variances ===
Sample 169: Variance = 0.0015089163237311377
Sample 170: Variance = 0.046090534979423864
Sample 171: Variance = 0.0
Sample 172: Variance = 0.0007201646090534986
Sample 173: Variance = 0.03621399176954733
Sample 174: Variance = 0.013168724279835389
Sample 175: Variance = 0.15051440329218105
Sample 176: Variance = 0.0005486968449931417
Sample 177: Variance = 0.0
Sample 178: Variance = 0.0
Sample 179: Variance = 0.02139917695473251
Sample 180: Variance = 0.02061042524005487
Sample 181: Variance = 0.000857338820301784
Sample 182: Variance = 0.03511659807956104
Sample 183: Variance = 0.04969135802469135
Sample 184: Variance = 0.0005486968449931397
Sample 185: Variance = 0.0
Sample 186: Variance = 0.04886831275720166
Sample 187: Variance = 0.042386831275720155
Sample 188: Variance = 0.0077160493827160516
Sample 189: Variance = 0.0
Sample 190: Variance = 0.0005486968449931417
Sample 191: Variance = 0.0
Sample 192: Variance = 0.0005486968449931419
Sample 193: Variance = 0.013751714677640602
Sample 194: Variance = 0.009636488340192047
Sample 195: Variance = 0.0
Sample 196: Variance = 0.00030864197530864224
Sample 197: Variance = 1.3695501826753678e-32
Sample 198: Variance = 0.00030864197530864224
Sample 199: Variance = 0.0
Sample 200: Variance = 0.003429355281207129
Sample 201: Variance = 0.0008230452674897127
Sample 202: Variance = 0.0
Sample 203: Variance = 0.0027777777777777766
Sample 204: Variance = 0.0
Sample 205: Variance = 0.00030864197530864224
Sample 206: Variance = 0.0
Sample 207: Variance = 0.020576131687242784
Sample 208: Variance = 0.0
Sample 209: Variance = 0.00030864197530864224
Sample 210: Variance = 0.0021947873799725627
Sample 211: Variance = 1.3695501826753678e-32
Sample 212: Variance = 0.002091906721536348
Sample 213: Variance = 0.0
Sample 214: Variance = 0.0005486968449931397
Sample 215: Variance = 0.0
Sample 216: Variance = 0.0
Sample 217: Variance = 0.07283950617283952
Sample 218: Variance = 0.00030864197530864224
Sample 219: Variance = 0.0
Sample 220: Variance = 0.0
Sample 221: Variance = 0.10593278463648834
Sample 222: Variance = 0.0
Sample 223: Variance = 0.011111111111111112
Sample 224: Variance = 0.011008230452674893
Sample 225: Variance = 0.03117283950617284
Sample 226: Variance = 0.0
Sample 227: Variance = 0.24777091906721532
Sample 228: Variance = 0.004149519890260628
Sample 229: Variance = 0.0
Sample 230: Variance = 0.048045267489711926
Sample 231: Variance = 0.0
Sample 232: Variance = 0.0007201646090534987
Sample 233: Variance = 0.0027777777777777766
Sample 234: Variance = 0.00030864197530864224
Sample 235: Variance = 0.0
Sample 236: Variance = 0.002194787379972563
Sample 237: Variance = 0.0005486968449931419
Sample 238: Variance = 0.0028806584362139885
Sample 239: Variance = 0.02088477366255144
Sample 240: Variance = 0.023868312757201648
Sample 241: Variance = 0.025000000000000005
Sample 242: Variance = 0.0
Sample 243: Variance = 0.07901234567901234
Sample 244: Variance = 0.0007201646090534986
Sample 245: Variance = 0.0012345679012345664
Sample 246: Variance = 0.03460219478737997
Sample 247: Variance = 0.06639231824417009
Sample 248: Variance = 0.0
Sample 249: Variance = 0.0
Sample 250: Variance = 0.0
Sample 251: Variance = 0.05679012345679013
Sample 252: Variance = 0.0012345679012345664
Sample 253: Variance = 0.0
Sample 254: Variance = 3.4238754566884194e-33
Sample 255: Variance = 0.019513031550068588
Sample 256: Variance = 0.0007201646090534987
Sample 257: Variance = 0.0
Sample 258: Variance = 0.0
Sample 259: Variance = 0.0
Sample 260: Variance = 0.034156378600823045
Sample 261: Variance = 0.006893004115226333
Sample 262: Variance = 0.0005486968449931417
Sample 263: Variance = 0.0352880658436214
Sample 264: Variance = 0.15637860082304528
Sample 265: Variance = 0.0019204389574759928
Sample 266: Variance = 0.019513031550068585
Sample 267: Variance = 0.0
Sample 268: Variance = 0.0
Sample 269: Variance = 0.0
Sample 270: Variance = 1.3695501826753678e-32
Sample 271: Variance = 0.08518518518518518
Sample 272: Variance = 0.0077160493827160516
Sample 273: Variance = 0.024691358024691357
Sample 274: Variance = 1.3695501826753678e-32
Sample 275: Variance = 0.07273662551440328
Sample 276: Variance = 0.046090534979423864
Sample 277: Variance = 0.015123456790123453
Sample 278: Variance = 0.000308641975308641
Sample 279: Variance = 0.04101508916323731
Sample 280: Variance = 0.0
Sample 281: Variance = 0.0012345679012345664
Sample 282: Variance = 0.0
Sample 283: Variance = 0.0
Sample 284: Variance = 0.028943758573388205
Sample 285: Variance = 0.024862825788751722
Sample 286: Variance = 0.004252400548696845
Sample 287: Variance = 0.006207133058984907
Sample 288: Variance = 0.0
Sample 289: Variance = 0.0
Sample 290: Variance = 0.05229766803840877
Sample 291: Variance = 0.003292181069958844
Sample 292: Variance = 0.0411522633744856
Sample 293: Variance = 0.052846364883401914
Sample 294: Variance = 1.3695501826753678e-32
Sample 295: Variance = 0.006995884773662554
Sample 296: Variance = 0.0028806584362139915
Sample 297: Variance = 0.0
Sample 298: Variance = 0.08535665294924556
Sample 299: Variance = 0.0
Sample 300: Variance = 0.0
Sample 301: Variance = 0.008539094650205761
Sample 302: Variance = 0.0007201646090534987
Sample 303: Variance = 0.011522633744855966
Sample 304: Variance = 0.01975308641975309
Sample 305: Variance = 0.031035665294924544
Sample 306: Variance = 0.0012345679012345664
Sample 307: Variance = 0.0027777777777777766
Sample 308: Variance = 0.0
Sample 309: Variance = 0.0
Sample 310: Variance = 0.008230452674897117
Sample 311: Variance = 0.0
Sample 312: Variance = 0.08919753086419753
Sample 313: Variance = 0.0007201646090534986
Sample 314: Variance = 0.08919753086419752
Sample 315: Variance = 0.004972565157750342
Sample 316: Variance = 1.3695501826753678e-32
Sample 317: Variance = 0.0008230452674897128
Sample 318: Variance = 0.06666666666666667
Sample 319: Variance = 1.3695501826753678e-32
Sample 320: Variance = 0.17832647462277093
Sample 321: Variance = 0.03552812071330589
Sample 322: Variance = 0.0
Sample 323: Variance = 0.0005486968449931419
Sample 324: Variance = 0.0005486968449931419
Sample 325: Variance = 0.03415637860082304
Sample 326: Variance = 0.0
Sample 327: Variance = 0.015123456790123453
Sample 328: Variance = 0.0036008230452674933
Sample 329: Variance = 0.025000000000000005
Sample 330: Variance = 0.011111111111111113
Sample 331: Variance = 0.044032921810699586
Sample 332: Variance = 1.3695501826753678e-32
Sample 333: Variance = 0.0
Sample 334: Variance = 0.0005486968449931419
Sample 335: Variance = 0.0
Sample 336: Variance = 0.0
Sample 337: Variance = 0.0
Sample 338: Variance = 0.0
Sample 339: Variance = 0.025000000000000005
Sample 340: Variance = 0.0
Sample 341: Variance = 0.0
Sample 342: Variance = 0.0
Sample 343: Variance = 0.053360768175582975
Sample 344: Variance = 1.3695501826753678e-32
Sample 345: Variance = 0.0021947873799725674
Sample 346: Variance = 0.0027777777777777766
Sample 347: Variance = 0.0021947873799725627
Sample 348: Variance = 0.03734567901234567
Sample 349: Variance = 0.0
Sample 350: Variance = 0.05473251028806583
Sample 351: Variance = 0.0015089163237311375
Sample 352: Variance = 0.03981481481481482
Sample 353: Variance = 0.01676954732510288
Sample 354: Variance = 0.2016460905349794
Sample 355: Variance = 0.019067215363511657
Sample 356: Variance = 0.0
Sample 357: Variance = 0.0
Sample 358: Variance = 0.010596707818930039
Sample 359: Variance = 0.0007201646090534986
Sample 360: Variance = 0.0015089163237311358
Sample 361: Variance = 0.0
Sample 362: Variance = 0.1585733882030178
Sample 363: Variance = 0.0
Sample 364: Variance = 0.0
Sample 365: Variance = 0.0
Sample 366: Variance = 1.3695501826753678e-32
Sample 367: Variance = 1.3695501826753678e-32
Sample 368: Variance = 0.0
Sample 369: Variance = 0.0
Sample 370: Variance = 0.12033607681755829
Sample 371: Variance = 0.020610425240054873
Sample 372: Variance = 0.00030864197530864224
Sample 373: Variance = 0.03237311385459534
Sample 374: Variance = 0.01800411522633745
Sample 375: Variance = 0.0
Sample 376: Variance = 0.0
Sample 377: Variance = 0.00030864197530864224
Sample 378: Variance = 1.3695501826753678e-32
Sample 379: Variance = 0.000994513031550067
Sample 380: Variance = 0.00030864197530864224
Sample 381: Variance = 0.0012345679012345664
Sample 382: Variance = 0.0005486968449931396
Sample 383: Variance = 0.0012345679012345664
Sample 384: Variance = 0.0048353909465020575
Sample 385: Variance = 0.04077503429355281
Sample 386: Variance = 0.0
Sample 387: Variance = 0.08810013717421122
Sample 388: Variance = 0.0
Sample 389: Variance = 0.025000000000000005
Sample 390: Variance = 0.028669410150891632
Sample 391: Variance = 0.0005486968449931417
Sample 392: Variance = 0.015123456790123462
Sample 393: Variance = 0.057921810699588475
Sample 394: Variance = 0.000857338820301784
Sample 395: Variance = 0.0005486968449931417
Sample 396: Variance = 0.0008573388203017806
Sample 397: Variance = 0.0015089163237311358
Sample 398: Variance = 0.0021947873799725627
Sample 399: Variance = 0.0
Sample 400: Variance = 0.025925925925925932
Sample 401: Variance = 0.0
Sample 402: Variance = 0.0
Sample 403: Variance = 0.00030864197530864224
Sample 404: Variance = 0.015123456790123453
Sample 405: Variance = 0.004938271604938271
Sample 406: Variance = 0.0012345679012345664
Sample 407: Variance = 0.08919753086419753
Sample 408: Variance = 0.0005486968449931419
Sample 409: Variance = 0.0
Sample 410: Variance = 0.07548010973936899
Sample 411: Variance = 0.0
Sample 412: Variance = 0.0012345679012345692
Sample 413: Variance = 0.0012345679012345666
Sample 414: Variance = 0.001508916323731138
Sample 415: Variance = 0.0
Sample 416: Variance = 0.024999999999999998
Sample 417: Variance = 0.0012345679012345692
Sample 418: Variance = 0.11234567901234567
Sample 419: Variance = 0.0028806584362139885
Sample 420: Variance = 0.08919753086419753
Sample 421: Variance = 0.00030864197530864224
Sample 422: Variance = 0.0
Sample 423: Variance = 0.0
Sample 424: Variance = 0.0
Sample 425: Variance = 0.06752400548696846
Sample 426: Variance = 0.030864197530864192
Sample 427: Variance = 0.004938271604938271
Sample 428: Variance = 0.0008573388203017841
Sample 429: Variance = 0.0
Sample 430: Variance = 1.3695501826753678e-32
Sample 431: Variance = 0.0
Sample 432: Variance = 0.004149519890260629
Sample 433: Variance = 0.0
Sample 434: Variance = 0.0015089163237311375
Sample 435: Variance = 0.05486968449931413
Sample 436: Variance = 0.014574759945130316
Sample 437: Variance = 1.3695501826753678e-32
Sample 438: Variance = 0.000857338820301784
Sample 439: Variance = 0.0008573388203017841
Sample 440: Variance = 0.0008230452674897127
Sample 441: Variance = 0.08381344307270235
Sample 442: Variance = 0.0
Sample 443: Variance = 0.04471879286694102
Sample 444: Variance = 0.0
Sample 445: Variance = 0.0
Sample 446: Variance = 0.0026063100137174184
Sample 447: Variance = 0.003052126200274348
Sample 448: Variance = 0.0
Sample 449: Variance = 0.06049382716049382
Sample 450: Variance = 0.0
Sample 451: Variance = 0.023456790123456788
Sample 452: Variance = 0.0
Sample 453: Variance = 1.3695501826753678e-32
Sample 454: Variance = 0.015123456790123453
Sample 455: Variance = 0.0
Sample 456: Variance = 0.00030864197530864224
Sample 457: Variance = 0.0
Sample 458: Variance = 0.004835390946502063
Sample 459: Variance = 0.0
Sample 460: Variance = 0.0
Sample 461: Variance = 0.0014060356652949241
Sample 462: Variance = 0.0
Sample 463: Variance = 1.3695501826753678e-32
Sample 464: Variance = 0.004938271604938271
Sample 465: Variance = 0.001543209876543209
Sample 466: Variance = 0.03511659807956104
Sample 467: Variance = 0.015123456790123453
Sample 468: Variance = 0.0
Sample 469: Variance = 0.05174897119341563
Sample 470: Variance = 0.04444444444444445
Sample 471: Variance = 0.0012345679012345664
Sample 472: Variance = 0.009053497942386827
Sample 473: Variance = 0.03347050754458161
Sample 474: Variance = 0.0008230452674897128
Sample 475: Variance = 0.0
Sample 476: Variance = 0.009739368998628255
Sample 477: Variance = 0.0
Sample 478: Variance = 0.026371742112482846
Sample 479: Variance = 1.3695501826753678e-32
Sample 480: Variance = 0.1411522633744856
Sample 481: Variance = 0.0
Sample 482: Variance = 0.0
Sample 483: Variance = 0.0
Sample 484: Variance = 0.005521262002743484
Sample 485: Variance = 0.1233196159122085
Sample 486: Variance = 0.028943758573388198
Sample 487: Variance = 0.0012345679012345664
Sample 488: Variance = 0.00030864197530864224
Sample 489: Variance = 0.0
Sample 490: Variance = 0.019753086419753086
Sample 491: Variance = 0.06944444444444443
Sample 492: Variance = 0.0
Sample 493: Variance = 0.0
Sample 494: Variance = 0.0
Sample 495: Variance = 0.05486968449931413
Sample 496: Variance = 0.0021947873799725627
Sample 497: Variance = 0.0
Sample 498: Variance = 0.03048696844993141
Sample 499: Variance = 0.0
Sample 500: Variance = 0.046090534979423864
Sample 501: Variance = 1.3695501826753678e-32
Sample 502: Variance = 0.0005486968449931417
Sample 503: Variance = 1.3695501826753678e-32
Sample 504: Variance = 0.024314128943758572
Sample 505: Variance = 0.036659807956104254
Sample 506: Variance = 0.0
Sample 507: Variance = 0.0857338820301783
Sample 508: Variance = 0.013717421124828537
Sample 509: Variance = 0.0
Sample 510: Variance = 0.0
Sample 511: Variance = 0.002777777777777775
Sample 512: Variance = 0.0
Sample 513: Variance = 0.0008230452674897127
Sample 514: Variance = 0.03734567901234569
Sample 515: Variance = 0.011831275720164612
Sample 516: Variance = 0.0
Sample 517: Variance = 0.02746913580246914
Sample 518: Variance = 0.002880658436213991
Sample 519: Variance = 0.07136488340192042
Sample 520: Variance = 0.0
Sample 521: Variance = 1.3695501826753678e-32
Sample 522: Variance = 0.02469135802469135
Sample 523: Variance = 0.0027777777777777744
Sample 524: Variance = 0.0
Sample 525: Variance = 0.0015089163237311377
Sample 526: Variance = 0.0014060356652949237
Sample 527: Variance = 0.0
Sample 528: Variance = 0.0
Sample 529: Variance = 0.03566529492455418
Sample 530: Variance = 0.0007201646090534986
Sample 531: Variance = 0.004938271604938271
Sample 532: Variance = 0.00030864197530864224
Sample 533: Variance = 0.0
Sample 534: Variance = 0.00030864197530864224
Sample 535: Variance = 0.0
Sample 536: Variance = 0.015123456790123455
Sample 537: Variance = 0.015123456790123453
Sample 538: Variance = 0.00030864197530864224
Sample 539: Variance = 0.0
Sample 540: Variance = 0.0037379972565157755
Sample 541: Variance = 0.035116598079561044
Sample 542: Variance = 0.0012345679012345668
Sample 543: Variance = 0.08919753086419753
Sample 544: Variance = 0.0
Sample 545: Variance = 0.0013717421124828544
Sample 546: Variance = 0.0
Sample 547: Variance = 0.07067901234567901
Sample 548: Variance = 0.0005486968449931419
Sample 549: Variance = 0.0
Sample 550: Variance = 0.04032921810699589
Sample 551: Variance = 0.0014060356652949258
Sample 552: Variance = 0.035116598079561044
Sample 553: Variance = 0.026886145404663917
Sample 554: Variance = 0.0
Sample 555: Variance = 0.019753086419753086
Sample 556: Variance = 0.03511659807956104
Sample 557: Variance = 0.0
Sample 558: Variance = 0.000994513031550069
Sample 559: Variance = 0.0005486968449931417
Sample 560: Variance = 0.0007201646090534987
Sample 561: Variance = 0.0008230452674897127
Sample 562: Variance = 0.0
Sample 563: Variance = 0.1288065843621399
Sample 564: Variance = 0.0005486968449931397
Sample 565: Variance = 0.0012345679012345664
Sample 566: Variance = 0.0
Sample 567: Variance = 0.03185871056241426
Sample 568: Variance = 0.0
Sample 569: Variance = 0.02815500685871056
Sample 570: Variance = 3.4238754566884194e-33
Sample 571: Variance = 0.00030864197530864105
Sample 572: Variance = 0.0012345679012345674
Sample 573: Variance = 0.12019890260631
Sample 574: Variance = 0.046090534979423864
Sample 575: Variance = 0.022085048010973933
Sample 576: Variance = 0.040329218106995884
Sample 577: Variance = 0.022496570644718786
Sample 578: Variance = 0.0
Sample 579: Variance = 0.00030864197530864105
Sample 580: Variance = 0.0
Sample 581: Variance = 0.019513031550068588
Sample 582: Variance = 0.02349108367626886
Sample 583: Variance = 0.03048696844993142
Sample 584: Variance = 0.0021947873799725627
Sample 585: Variance = 0.0026063100137174184
Sample 586: Variance = 0.011522633744855966
Sample 587: Variance = 0.0
Sample 588: Variance = 0.00030864197530864224
Sample 589: Variance = 0.025000000000000005
Sample 590: Variance = 0.0
Sample 591: Variance = 0.0
Sample 592: Variance = 0.003292181069958844
Sample 593: Variance = 0.015123456790123453
Sample 594: Variance = 0.0005486968449931396
Sample 595: Variance = 0.0
Sample 596: Variance = 0.0
Sample 597: Variance = 0.02592592592592592
Sample 598: Variance = 0.0
Sample 599: Variance = 0.13954046639231826
Sample 600: Variance = 0.0
Sample 601: Variance = 0.0
Sample 602: Variance = 0.0008230452674897127
Sample 603: Variance = 0.0027777777777777766
Sample 604: Variance = 0.0
Sample 605: Variance = 0.0
Sample 606: Variance = 0.015123456790123453
Sample 607: Variance = 0.019753086419753086
Sample 608: Variance = 0.046090534979423864
Sample 609: Variance = 0.00030864197530864224
Sample 610: Variance = 0.0
Sample 611: Variance = 0.0
Sample 612: Variance = 0.0
Sample 613: Variance = 0.052846364883401935
Sample 614: Variance = 0.08919753086419753
Sample 615: Variance = 0.0
Sample 616: Variance = 0.0007201646090534987
Sample 617: Variance = 0.030315500685871064
Sample 618: Variance = 0.0
Sample 619: Variance = 0.0
Sample 620: Variance = 0.09410150891632371
Sample 621: Variance = 0.0
Sample 622: Variance = 0.019753086419753083
Sample 623: Variance = 0.0
Sample 624: Variance = 0.00030864197530864224
Sample 625: Variance = 0.0008573388203017841
Sample 626: Variance = 0.035116598079561044
Sample 627: Variance = 0.0
Sample 628: Variance = 0.0015089163237311377
Sample 629: Variance = 0.04032921810699588
Sample 630: Variance = 0.055178326474622785
Sample 631: Variance = 0.0012345679012345664
Sample 632: Variance = 0.0014060356652949237
Sample 633: Variance = 0.09468449931412896
Sample 634: Variance = 0.0
Sample 635: Variance = 0.03021262002743484
Sample 636: Variance = 0.019753086419753083
Sample 637: Variance = 0.017146776406035666
Sample 638: Variance = 0.057064471879286684
Sample 639: Variance = 0.019513031550068588
Sample 640: Variance = 0.04008916323731139
Sample 641: Variance = 0.0
Sample 642: Variance = 0.0
Sample 643: Variance = 1.3695501826753678e-32
Sample 644: Variance = 0.0008230452674897127
Sample 645: Variance = 0.0
Sample 646: Variance = 0.0
Sample 647: Variance = 0.00030864197530864224
Sample 648: Variance = 0.0
Sample 649: Variance = 0.019753086419753083
Sample 650: Variance = 1.3695501826753678e-32
Sample 651: Variance = 0.035013717421124836
Sample 652: Variance = 0.05353223593964335
Sample 653: Variance = 0.0
Sample 654: Variance = 0.011111111111111113
Sample 655: Variance = 0.0
Sample 656: Variance = 0.030864197530864192
Sample 657: Variance = 0.0
Sample 658: Variance = 0.000308641975308641
Sample 659: Variance = 0.0008573388203017841
Sample 660: Variance = 0.0
Sample 661: Variance = 0.05486968449931412
Sample 662: Variance = 0.00030864197530864224
Sample 663: Variance = 0.0
Sample 664: Variance = 0.02592592592592592
Sample 665: Variance = 0.12812071330589847
Sample 666: Variance = 0.011111111111111112
Sample 667: Variance = 0.001234567901234569
Sample 668: Variance = 0.0
Sample 669: Variance = 0.0
Sample 670: Variance = 0.0012345679012345664
Sample 671: Variance = 0.0008230452674897127
Sample 672: Variance = 0.034327846364883396
Sample 673: Variance = 0.0
Sample 674: Variance = 0.004938271604938271
Sample 675: Variance = 0.14046639231824418
Sample 676: Variance = 0.0
Sample 677: Variance = 0.0021947873799725627
Sample 678: Variance = 0.0
Sample 679: Variance = 0.03223593964334705
Sample 680: Variance = 0.0008230452674897128
Sample 681: Variance = 0.026886145404663917
Sample 682: Variance = 0.0
Sample 683: Variance = 0.0
Sample 684: Variance = 0.00030864197530864224
Sample 685: Variance = 0.24777091906721532
Sample 686: Variance = 0.0
Sample 687: Variance = 0.0
Sample 688: Variance = 0.0027777777777777766
Sample 689: Variance = 0.00030864197530864224
Sample 690: Variance = 0.000308641975308641
Sample 691: Variance = 0.0
Sample 692: Variance = 0.0
Sample 693: Variance = 0.0
Sample 694: Variance = 1.3695501826753678e-32
Sample 695: Variance = 0.00030864197530864224
Sample 696: Variance = 0.030898491083676274
Sample 697: Variance = 0.0
Sample 698: Variance = 0.019753086419753086
Sample 699: Variance = 0.014026063100137173
Sample 700: Variance = 1.3695501826753678e-32
Sample 701: Variance = 3.4238754566884194e-33
Sample 702: Variance = 0.0007201646090534987
Sample 703: Variance = 0.0006858710562414258
Sample 704: Variance = 0.09962277091906721
Sample 705: Variance = 0.014711934156378599
Sample 706: Variance = 0.046090534979423864
Sample 707: Variance = 0.0012345679012345666
Sample 708: Variance = 0.0007201646090534986
Sample 709: Variance = 0.000994513031550067
Sample 710: Variance = 0.047325102880658436
Sample 711: Variance = 0.0008573388203017807
Sample 712: Variance = 0.0
Sample 713: Variance = 0.07438271604938271
Sample 714: Variance = 0.0
Sample 715: Variance = 1.3695501826753678e-32
Sample 716: Variance = 1.3695501826753678e-32
Sample 717: Variance = 0.0005486968449931397
Sample 718: Variance = 0.052674897119341556
Sample 719: Variance = 0.015809327846364882
Sample 720: Variance = 0.0021947873799725627
Sample 721: Variance = 0.0
Sample 722: Variance = 0.0014060356652949241
Sample 723: Variance = 0.1585733882030178
Sample 724: Variance = 0.015397805212620028
Sample 725: Variance = 0.01975308641975309
Sample 726: Variance = 0.019753086419753086
Sample 727: Variance = 0.044718792866941005
Sample 728: Variance = 0.013580246913580245
Sample 729: Variance = 0.0008573388203017841
Sample 730: Variance = 0.0
Sample 731: Variance = 0.0
Sample 732: Variance = 0.019204389574759943
Sample 733: Variance = 0.0
Sample 734: Variance = 0.002880658436213989
Sample 735: Variance = 0.0
Sample 736: Variance = 0.000308641975308641
Sample 737: Variance = 0.1045610425240055
Sample 738: Variance = 0.017283950617283945
Sample 739: Variance = 0.08919753086419753
Sample 740: Variance = 0.01975308641975309
